Code,Industry,Market Cap
30720,Fishery,"41,605,016,700"
7160,Fishery,"272,000,000,000"
6040,Fishery,"829,028,800,000"
4970,Fishery,"229,600,000,000"
12320,Mining,"95,310,426,900"
3580,Mining,"122,099,322,800"
17810,Food-Related,"430,427,735,000"
280360,Food-Related,"1,023,466,361,500"
271560,Food-Related,"3,293,359,795,600"
6090,Food-Related,"77,454,914,580"
26490,Food-Related,"6,134,330,800"
264900,Food-Related,"122,107,537,500"
248170,Food-Related,"137,505,408,600"
101530,Food-Related,"276,609,809,000"
14710,Food-Related,"107,099,337,460"
145995,Food-Related,"13,803,611,000"
145990,Food-Related,"545,359,559,000"
87,Food-Related,"18,816,797,700"
136490,Food-Related,"291,300,149,000"
33920,Food-Related,"310,650,000,000"
1799,Food-Related,"3,124,709,600"
80,Food-Related,"1,500,859,275,400"
11155,Food-Related,"7,460,000,000"
11150,Food-Related,"101,863,741,455"
97955,Food-Related,"165,265,408,500"
97950,Food-Related,"4,215,172,080,000"
79660,Food-Related,"60,000,800,000"
27740,Food-Related,"197,298,379,530"
2600,Food-Related,"103,800,000,000"
49770,Food-Related,"1,084,413,844,000"
36580,Food-Related,"248,648,174,110"
23150,Food-Related,"48,698,271,600"
8040,Food-Related,"185,605,149,000"
7310,Food-Related,"2,502,034,478,000"
6980,Food-Related,"124,527,000,000"
5610,Food-Related,"849,094,485,600"
5305,Food-Related,"59,233,684,000"
5300,Food-Related,"1,330,911,090,000"
5180,Food-Related,"705,348,855,600"
4415,Food-Related,"9,409,635,000"
4410,Food-Related,"64,107,900,000"
4370,Food-Related,"1,475,040,685,000"
3960,Food-Related,"128,450,391,250"
3925,Food-Related,"34,999,020,000"
3920,Food-Related,"405,360,000,000"
3680,Food-Related,"38,541,030,080"
3230,Food-Related,"535,597,366,500"
2270,Food-Related,"620,264,760,000"
2140,Food-Related,"57,610,071,750"
1795,Food-Related,"8,362,760,400"
1790,Food-Related,"177,684,040,200"
1685,Food-Related,"18,223,965,900"
1680,Food-Related,"867,933,026,250"
1130,Food-Related,"344,760,000,000"
890,Food-Related,"143,845,592,940"
16450,Textile,"346,400,000,000"
111110,Textile,"107,600,000,000"
93240,Textile,"59,505,664,180"
105630,Textile,"916,000,000,000"
102280,Textile,"131,706,697,260"
90370,Textile,"102,385,236,310"
93050,Textile,"640,356,000,000"
84870,Textile,"49,743,513,315"
7980,Textile,"154,227,282,780"
7700,Textile,"1,196,580,000,000"
20000,Textile,"991,357,500,000"
16090,Textile,"107,163,190,200"
14990,Textile,"152,047,127,100"
11300,Textile,"32,579,553,780"
9275,Textile,"4,990,700,000"
9270,Textile,"168,039,356,160"
8500,Textile,"23,700,000,000"
5820,Textile,"40,480,000,000"
5800,Textile,"107,100,000,000"
3610,Textile,"96,476,125,200"
3200,Textile,"230,640,000,000"
2070,Textile,"44,504,283,600"
1465,Textile,"30,261,592,500"
1460,Textile,"147,096,832,500"
1070,Textile,"108,385,000,000"
950,Textile,"28,140,000,000"
213500,Wood & Paper,"334,398,092,800"
109070,Wood & Paper,"42,016,575,200"
9770,Wood & Paper,"86,873,992,250"
25750,Wood & Paper,"109,568,602,640"
27970,Wood & Paper,"40,649,120,875"
16590,Wood & Paper,"322,382,560,000"
14160,Wood & Paper,"138,745,022,720"
12690,Wood & Paper,"128,730,817,600"
11280,Wood & Paper,"592,645,717,800"
9580,Wood & Paper,"328,057,384,240"
9460,Wood & Paper,"207,941,188,710"
9200,Wood & Paper,"130,445,186,850"
8250,Wood & Paper,"100,983,294,700"
6740,Wood & Paper,"76,812,000,000"
4545,Wood & Paper,"5,968,408,000"
4540,Wood & Paper,"93,101,732,500"
2870,Wood & Paper,"45,446,310,000"
2820,Wood & Paper,"62,976,905,055"
2310,Wood & Paper,"337,212,300,300"
2300,Wood & Paper,"92,091,061,600"
2200,Wood & Paper,"83,000,000,000"
1020,Wood & Paper,"77,153,519,586"
267250,Chemical,"5,040,707,961,500"
100250,Chemical,"142,253,518,140"
96775,Chemical,"151,059,546,000"
96770,Chemical,"14,840,723,022,000"
92230,Chemical,"245,029,468,000"
5725,Chemical,"13,646,274,000"
5720,Chemical,"342,681,452,800"
2795,Chemical,"171,404,282,000"
2790,Chemical,"5,277,323,520,000"
298050,Chemical,"499,514,202,000"
298020,Chemical,"608,039,321,000"
298000,Chemical,"478,518,900,000"
226320,Chemical,"543,847,012,000"
18250,Chemical,"1,164,516,847,000"
28513,Chemical,"35,008,080,000"
285130,Chemical,"684,523,386,800"
282690,Chemical,"184,709,051,750"
272550,Chemical,"245,829,609,200"
55490,Chemical,"104,731,830,000"
268280,Chemical,"381,153,148,000"
25620,Chemical,"171,346,228,640"
88,Chemical,"305,619,200,000"
214420,Chemical,"186,984,000,000"
192820,Chemical,"1,135,594,517,000"
14825,Chemical,"8,106,686,900"
14820,Chemical,"1,010,650,258,950"
163560,Chemical,"88,510,500,000"
161890,Chemical,"1,419,015,323,000"
161390,Chemical,"4,428,533,716,750"
161000,Chemical,"255,358,800,000"
144620,Chemical,"134,914,217,775"
79980,Chemical,"249,435,000,000"
78520,Chemical,"318,994,816,200"
138490,Chemical,"193,800,000,000"
134380,Chemical,"90,662,025,600"
120115,Chemical,"56,741,130,000"
120110,Chemical,"1,129,064,454,000"
115390,Chemical,"829,054,980,000"
108675,Chemical,"30,660,201,000"
108670,Chemical,"504,879,821,000"
93370,Chemical,"687,142,596,980"
89470,Chemical,"164,923,000,000"
90355,Chemical,"5,812,231,300"
90350,Chemical,"155,400,000,000"
90435,Chemical,"1,005,105,416,000"
90430,Chemical,"10,522,528,200,000"
83420,Chemical,"74,200,000,000"
73240,Chemical,"1,103,079,502,080"
81000,Chemical,"335,519,756,250"
14830,Chemical,"443,158,673,550"
6890,Chemical,"72,384,000,000"
11500,Chemical,"65,753,761,610"
69260,Chemical,"864,582,136,200"
51915,Chemical,"1,449,338,800,000"
51910,Chemical,"23,330,769,361,500"
51905,Chemical,"1,627,265,175,000"
51900,Chemical,"20,225,565,115,000"
51630,Chemical,"58,800,000,000"
35150,Chemical,"240,306,000,000"
25860,Chemical,"504,240,256,450"
25000,Chemical,"277,332,000,000"
24890,Chemical,"77,960,897,280"
24070,Chemical,"39,695,474,420"
23450,Chemical,"85,655,286,200"
15890,Chemical,"188,233,150,000"
14680,Chemical,"908,133,678,000"
14530,Chemical,"120,822,540,300"
14440,Chemical,"79,800,000,000"
12610,Chemical,"269,039,790,900"
11790,Chemical,"1,174,831,571,500"
11785,Chemical,"109,147,844,600"
11780,Chemical,"2,860,916,184,900"
11170,Chemical,"8,774,507,264,000"
10955,Chemical,"238,500,271,100"
10950,Chemical,"9,198,014,106,400"
10640,Chemical,"23,250,000,000"
10060,Chemical,"2,217,991,503,000"
9835,Chemical,"15,170,449,500"
9830,Chemical,"3,447,582,841,500"
8730,Chemical,"333,560,000,000"
8490,Chemical,"404,340,499,350"
7690,Chemical,"270,774,705,600"
7590,Chemical,"97,093,324,010"
6650,Chemical,"877,500,000,000"
6380,Chemical,"160,800,000,000"
6060,Chemical,"569,796,000,000"
5950,Chemical,"144,529,880,000"
5420,Chemical,"213,468,431,250"
5190,Chemical,"90,971,366,200"
5070,Chemical,"296,219,475,000"
4910,Chemical,"80,768,000,000"
