Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change
A,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,24030000000,21.06,75.88,0.42%
AA,Alcoa Corporation,Basic Materials,Aluminum,USA,5500000000,-,28.13,-1.39%
AAL,American Airlines Group Inc.,Services,Major Airlines,USA,15260000000,11.19,34.17,0.57%
AAP,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,12460000000,30.5,173.3,0.48%
AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,9.7482E+11,17.38,207.79,0.15%
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,1.1689E+11,21.71,79.34,0.86%
ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,15470000000,14.21,73.8,0.50%
ABMD,"ABIOMED, Inc.",Healthcare,Medical Appliances & Equipment,USA,11590000000,54.69,267.86,2.16%
ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,1.3401E+11,54.67,76.26,0.21%
ACN,Accenture plc,Technology,Information Technology Services,Ireland,1.2124E+11,26.02,180.99,0.28%
ADBE,Adobe Inc.,Technology,Application Software,USA,1.3592E+11,50.44,278.95,0.17%
ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits,USA,42070000000,26.78,116.72,2.29%
ADM,Archer-Daniels-Midland Company,Consumer Goods,Farm Products,USA,24070000000,13.62,42.85,0.36%
ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,USA,72080000000,39.04,164.3,-0.45%
ADS,Alliance Data Systems Corporation,Services,Business Services,USA,8740000000,9.6,162.85,-0.10%
ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,38470000000,-,176.02,0.42%
AEE,Ameren Corporation,Utilities,Electric Utilities,USA,17490000000,21.44,71.77,0.87%
AEP,"American Electric Power Company, Inc.",Utilities,Electric Utilities,USA,41320000000,21.57,83.88,0.36%
AES,The AES Corporation,Utilities,Electric Utilities,USA,11740000000,11.52,17.71,-0.23%
AFL,Aflac Incorporated,Financial,Accident & Health Insurance,USA,36720000000,12.91,48.76,-0.32%
AGN,Allergan plc,Healthcare,Drugs - Generic,USA,47210000000,-,140.85,-0.93%
AIG,"American International Group, Inc.",Financial,Property & Casualty Insurance,USA,40800000000,-,45.85,-0.28%
